82 dame street	novel	p	1
72 dame street	novel	p	1
college park	novel	p	1
1 leinster street	novel	p	1
merrion square	novel	p	1
2 mount street lower	novel	p	1
haddington road	novel	p	1
northumberland road	novel	p	1
7 eccles street	christianity		1
ringsend road	christianity		1
stamer street	christianity		1
hume street	christianity		1
nelson's pillar	christianity		1
rutland square	christianity		1
blessington street	christianity		1
berkely street	christianity		1
eccles street	christianity		1
phibsborough road	christianity		1
finglas road	christianity		1
windmill lane	christianity		1
18 rogerson's quay	christianity		1
19 rogerson's quay	christianity		1
lime street	christianity		1
townsend street	christianity		1
26 lombard street e.	christianity		1
164 north strand road	christianity		1
6 westland row	christianity		1
49 westland row	christianity		1
31 westland row	christianity		1
pearse street	christianity		1
cumberland street	christianity		1
153 pearse street	christianity		1
the coombe	christianity		1
46 westland row	christianity		1
1 lincoln place	christianity		1
11 leinster street	christianity		1
upper gardiner street	christianity		1
mountjoy square	christianity		1
fitzgibbon street	christianity		1
great charles street	christianity		1
north circular road	christianity		1
4 n. strand road	christianity		1
16 n. strand road	christianity		1
17 n. strand road	christianity		1
164 n. strand road	christianity		1
21 n. strand road	christianity		1
newcomen bridge	christianity		1
annesley bridge	christianity		1
howth road	christianity		1
malahide road	christianity		1
11 2 dorset street lower	christianity		1
clongowes fields	christianity		1
61 grafton street	christianity		1
college green	christianity		1
52 grafton street	christianity		1
8 ormond quay upper	christianity		1
crampton court	christianity		1
sycamore street	christianity		1
jervis street	christianity		1
30 essex street east	christianity		1
29 essex street east	christianity		1
merchant's arch	christianity		1
metal bridge	christianity		1
wellington quay	christianity		1
42 camden street lower	christianity		1
25 bachelor's walk	christianity		1
james's street	christianity		1
5 dame street	christianity		1
35 dame street	christianity		1
28 james's street	christianity		1
48 james's street	christianity		1
2 sackville st. lower	christianity		1
12 sackville st. lower	christianity		1
carlisle bridge	christianity		1
21 watling street	christianity		1
27 bachelor's walk	christianity		1
31 dame street	christianity		1
island street	christianity		1
watling street	christianity		1
49 fleet street	christianity		1
1 bedford row	christianity		1
10 bedford row	christianity		1
19 ormond quay lower	christianity		1
31 mary's abbey	christianity		1
christchurch place	christianity		1
dame street	christianity		1
lord edward street	christianity		1
cork hill	christianity		1
37 parliament street	christianity		1
27 parliament street	christianity		1
30 parliament street	christianity		1
33 dame street	christianity		1
14 nelson street	christianity		1
60 mount street lower	christianity		1
14 clare street	christianity		1
31 merrion square north	christianity		1
1 merrion square north	christianity		1
23 wicklow street	christianity		1
8 bridge street	christianity		1
33 wicklow street	christianity		1
sean heuston bridge	christianity		1
ror o'more bridge	christianity		1
father mathew bridge	christianity		1
29 kildare street	christianity		1
32 arran quay	christianity		1
d'donovan rossa bridge	christianity		1
34 ormond quay upper	christianity		1
36 ormond quay upper	christianity		1
15 wood quay	christianity		1
30 ormond quay upper	christianity		1
grattan bridge	christianity		1
11 wellington quay	christianity		1
2 wellington quay	christianity		1
11 granby row upper	christianity		1
26 parliament street	christianity		1
82 dame street	christianity		1
72 dame street	christianity		1
college park	christianity		1
1 leinster street	christianity		1
merrion square	christianity		1
2 mount street lower	christianity		1
haddington road	christianity		1
northumberland road	christianity		1
7 eccles street	irish		1
ringsend road	irish		1
stamer street	irish		1
hume street	irish		1
nelson's pillar	irish		1
rutland square	irish		1
blessington street	irish		1
berkely street	irish		1
eccles street	irish		1
phibsborough road	irish		1
finglas road	irish		1
windmill lane	irish		1
18 rogerson's quay	irish		1
19 rogerson's quay	irish		1
lime street	irish		1
townsend street	irish		1
26 lombard street e.	irish		1
164 north strand road	irish		1
6 westland row	irish		1
49 westland row	irish		1
31 westland row	irish		1
pearse street	irish		1
cumberland street	irish		1
153 pearse street	irish		1
the coombe	irish		1
46 westland row	irish		1
1 lincoln place	irish		1
11 leinster street	irish		1
upper gardiner street	irish		1
mountjoy square	irish		1
fitzgibbon street	irish		1
great charles street	irish		1
north circular road	irish		1
4 n. strand road	irish		1
16 n. strand road	irish		1
17 n. strand road	irish		1
164 n. strand road	irish		1
21 n. strand road	irish		1
newcomen bridge	irish		1
annesley bridge	irish		1
howth road	irish		1
malahide road	irish		1
11 2 dorset street lower	irish		1
clongowes fields	irish		1
61 grafton street	irish		1
college green	irish		1
52 grafton street	irish		1
8 ormond quay upper	irish		1
crampton court	irish		1
sycamore street	irish		1
jervis street	irish		1
30 essex street east	irish		1
29 essex street east	irish		1
merchant's arch	irish		1
metal bridge	irish		1
wellington quay	irish		1
42 camden street lower	irish		1
25 bachelor's walk	irish		1
james's street	irish		1
5 dame street	irish		1
35 dame street	irish		1
28 james's street	irish		1
48 james's street	irish		1
2 sackville st. lower	irish		1
12 sackville st. lower	irish		1
carlisle bridge	irish		1
21 watling street	irish		1
27 bachelor's walk	irish		1
31 dame street	irish		1
island street	irish		1
watling street	irish		1
49 fleet street	irish		1
1 bedford row	irish		1
10 bedford row	irish		1
19 ormond quay lower	irish		1
31 mary's abbey	irish		1
christchurch place	irish		1
dame street	irish		1
lord edward street	irish		1
cork hill	irish		1
37 parliament street	irish		1
27 parliament street	irish		1
30 parliament street	irish		1
33 dame street	irish		1
14 nelson street	irish		1
60 mount street lower	irish		1
14 clare street	irish		1
31 merrion square north	irish		1
1 merrion square north	irish		1
23 wicklow street	irish		1
8 bridge street	irish		1
33 wicklow street	irish		1
sean heuston bridge	irish		1
ror o'more bridge	irish		1
father mathew bridge	irish		1
29 kildare street	irish		1
32 arran quay	irish		1
d'donovan rossa bridge	irish		1
34 ormond quay upper	irish		1
36 ormond quay upper	irish		1
15 wood quay	irish		1
30 ormond quay upper	irish		1
grattan bridge	irish		1
11 wellington quay	irish		1
2 wellington quay	irish		1
11 granby row upper	irish		1
26 parliament street	irish		1
82 dame street	irish		1
72 dame street	irish		1
college park	irish		1
1 leinster street	irish		1
merrion square	irish		1
2 mount street lower	irish		1
haddington road	irish		1
northumberland road	irish		1
7 eccles street	operacompany		1
ringsend road	operacompany		1
stamer street	operacompany		1
hume street	operacompany		1
nelson's pillar	operacompany		1
rutland square	operacompany		1
blessington street	operacompany		1
berkely street	operacompany		1
eccles street	operacompany		1
phibsborough road	operacompany		1
finglas road	operacompany		1
windmill lane	operacompany		1
18 rogerson's quay	operacompany		1
19 rogerson's quay	operacompany		1
lime street	operacompany		1
townsend street	operacompany		1
26 lombard street e.	operacompany		1
164 north strand road	operacompany		1
6 westland row	operacompany		1
49 westland row	operacompany		1
31 westland row	operacompany		1
pearse street	operacompany		1
cumberland street	operacompany		1
153 pearse street	operacompany		1
the coombe	operacompany		1
46 westland row	operacompany		1
1 lincoln place	operacompany		1
11 leinster street	operacompany		1
upper gardiner street	operacompany		1
mountjoy square	operacompany		1
fitzgibbon street	operacompany		1
great charles street	operacompany		1
north circular road	operacompany		1
4 n. strand road	operacompany		1
16 n. strand road	operacompany		1
17 n. strand road	operacompany		1
164 n. strand road	operacompany		1
21 n. strand road	operacompany		1
newcomen bridge	operacompany		1
annesley bridge	operacompany		1
howth road	operacompany		1
malahide road	operacompany		1
11 2 dorset street lower	operacompany		1
clongowes fields	operacompany		1
61 grafton street	operacompany		1
college green	operacompany		1
52 grafton street	operacompany		1
8 ormond quay upper	operacompany		1
crampton court	operacompany		1
sycamore street	operacompany		1
jervis street	operacompany		1
30 essex street east	operacompany		1
29 essex street east	operacompany		1
merchant's arch	operacompany		1
metal bridge	operacompany		1
wellington quay	operacompany		1
42 camden street lower	operacompany		1
25 bachelor's walk	operacompany		1
james's street	operacompany		1
5 dame street	operacompany		1
35 dame street	operacompany		1
28 james's street	operacompany		1
48 james's street	operacompany		1
2 sackville st. lower	operacompany		1
12 sackville st. lower	operacompany		1
carlisle bridge	operacompany		1
21 watling street	operacompany		1
27 bachelor's walk	operacompany		1
31 dame street	operacompany		1
island street	operacompany		1
watling street	operacompany		1
49 fleet street	operacompany		1
1 bedford row	operacompany		1
10 bedford row	operacompany		1
19 ormond quay lower	operacompany		1
31 mary's abbey	operacompany		1
christchurch place	operacompany		1
dame street	operacompany		1
lord edward street	operacompany		1
cork hill	operacompany		1
37 parliament street	operacompany		1
27 parliament street	operacompany		1
30 parliament street	operacompany		1
33 dame street	operacompany		1
14 nelson street	operacompany		1
60 mount street lower	operacompany		1
14 clare street	operacompany		1
31 merrion square north	operacompany		1
1 merrion square north	operacompany		1
23 wicklow street	operacompany		1
8 bridge street	operacompany		1
33 wicklow street	operacompany		1
sean heuston bridge	operacompany		1
ror o'more bridge	operacompany		1
father mathew bridge	operacompany		1
29 kildare street	operacompany		1
32 arran quay	operacompany		1
d'donovan rossa bridge	operacompany		1
34 ormond quay upper	operacompany		1
36 ormond quay upper	operacompany		1
15 wood quay	operacompany		1
30 ormond quay upper	operacompany		1
grattan bridge	operacompany		1
11 wellington quay	operacompany		1
2 wellington quay	operacompany		1
11 granby row upper	operacompany		1
26 parliament street	operacompany		1
82 dame street	operacompany		1
72 dame street	operacompany		1
college park	operacompany		1
1 leinster street	operacompany		1
merrion square	operacompany		1
2 mount street lower	operacompany		1
haddington road	operacompany		1
northumberland road	operacompany		1
7 eccles street	irish surgeon		1
ringsend road	irish surgeon		1
stamer street	irish surgeon		1
hume street	irish surgeon		1
nelson's pillar	irish surgeon		1
rutland square	irish surgeon		1
blessington street	irish surgeon		1
berkely street	irish surgeon		1
eccles street	irish surgeon		1
phibsborough road	irish surgeon		1
finglas road	irish surgeon		1
windmill lane	irish surgeon		1
18 rogerson's quay	irish surgeon		1
19 rogerson's quay	irish surgeon		1
lime street	irish surgeon		1
townsend street	irish surgeon		1
26 lombard street e.	irish surgeon		1
164 north strand road	irish surgeon		1
6 westland row	irish surgeon		1
49 westland row	irish surgeon		1
31 westland row	irish surgeon		1
pearse street	irish surgeon		1
cumberland street	irish surgeon		1
153 pearse street	irish surgeon		1
the coombe	irish surgeon		1
46 westland row	irish surgeon		1
1 lincoln place	irish surgeon		1
11 leinster street	irish surgeon		1
upper gardiner street	irish surgeon		1
mountjoy square	irish surgeon		1
fitzgibbon street	irish surgeon		1
great charles street	irish surgeon		1
north circular road	irish surgeon		1
4 n. strand road	irish surgeon		1
16 n. strand road	irish surgeon		1
17 n. strand road	irish surgeon		1
164 n. strand road	irish surgeon		1
21 n. strand road	irish surgeon		1
newcomen bridge	irish surgeon		1
annesley bridge	irish surgeon		1
howth road	irish surgeon		1
malahide road	irish surgeon		1
11 2 dorset street lower	irish surgeon		1
clongowes fields	irish surgeon		1
61 grafton street	irish surgeon		1
college green	irish surgeon		1
52 grafton street	irish surgeon		1
8 ormond quay upper	irish surgeon		1
crampton court	irish surgeon		1
