sean heuston bridge	1		deasylandact1860
rory o'more bridge	1		deasylandact1860
father mathew bridge	1		deasylandact1860
29 kildare street	1		deasylandact1860
arran quay	1		deasylandact1860
o'donovan rossa bridge	1		deasylandact1860
ormond quay upper	1		deasylandact1860
wood quay	1		deasylandact1860
grattan bridge	1		deasylandact1860
11 wellington quay	1		deasylandact1860
2 wellington quay	1		deasylandact1860
granby row	1		deasylandact1860
merrion square	1		deasylandact1860
mount street lower	1		deasylandact1860
haddington road	1		deasylandact1860
northumberland road	1		deasylandact1860
loopline bridge	1		deasylandact1860
sandycove	1		deasylandact1860
dalkey, dublin bay	1		irishsaint
sandymount strand	1		irishsaint
leeson park	1		irishsaint
7 eccles street	1		irishsaint
windmill lane	1		irishsaint
18 rogerson's quay	1		irishsaint
19 rogerson's quay	1		irishsaint
lime street	1		irishsaint
townsend street	1		irishsaint
26 lombard street e.	1		irishsaint
164 north strand road	1		irishsaint
6 westland row	1		irishsaint
49 westland row	1		irishsaint
31 westland row	1		irishsaint
pearse street	1		irishsaint
cumberland street	1		irishsaint
153 pearse street	1		irishsaint
the coombe	1		irishsaint
46 westland row	1		irishsaint
1 lincoln place	1		irishsaint
11 leinster street	1		irishsaint
arbour hill	1		irishsaint
ringsend road	1		irishsaint
hume street	1		irishsaint
nelson's pillar	1		irishsaint
rutland grove	1		irishsaint
blessington street	1		irishsaint
berkely street	1		irishsaint
eccles street	1		irishsaint
phibsborough road	1		irishsaint
finglas road	1		irishsaint
mountjoy square	1		irishsaint
fitzgibbon street	1		irishsaint
north circular road	1		irishsaint
n. strand road	1		irishsaint
newcomen bridge	1		irishsaint
annesley bridge	1		irishsaint
howth road	1		irishsaint
malahide road	1		irishsaint
dorset street lower	1		irishsaint
clongowes fields	1		irishsaint
grafton street	1		irishsaint
college green	1		irishsaint
8 ormond quay upper	1		irishsaint
crampton court	1		irishsaint
sycamore street	1		irishsaint
jervis street	1		irishsaint
essex street east	1		irishsaint
merchant's arch	1		irishsaint
wellington quay	1		irishsaint
42 camden street lower	1		irishsaint
25 bachelor's walk	1		irishsaint
dame street	1		irishsaint
o'connell bridge	1		irishsaint
watling street	1		irishsaint
27 bachelor's walk	1		irishsaint
31 dame street	1		irishsaint
island street	1		irishsaint
fleet street	1		irishsaint
bedford row	1		irishsaint
ormond quay lower	1		irishsaint
mary's abbey	1		irishsaint
christchurch place	1		irishsaint
lord edward street	1		irishsaint
cork hill	1		irishsaint
parliament street	1		irishsaint
33 dame street	1		irishsaint
nelson street	1		irishsaint
60 mount street lower	1		irishsaint
clare street	1		irishsaint
31 merrion square north	1		irishsaint
1 merrion square north	1		irishsaint
wicklow street	1		irishsaint
bridge street	1		irishsaint
sean heuston bridge	1		irishsaint
