"NAME","ROLE"
"Woodcock, Thomas 1561","Bookseller"
"Florio, John, 1553?","Author"
"Hatfield, Arnold 1581","Printer"
"Blount, Edward 1578","Stationer"
"Florus, Lucius Annaeus.","Author"
"Pass, Simon van de, 1595?","Author"
"Bolton, Edmund, 1575?","Author"
"Flower, William, ca. 1498-1588.","Author"
"Norton, Felix 1591","Bookseller"
"Bacon, Francis, 1561-1626.","Author"
"Floyd, Thomas, M.A., of Jesus College, Oxford.","Author"
"Fludd, Robert, 1574-1637.","Author"
"Moore, Richard 1598","Bookseller"
"Folkingham, W. (William)","Author"
"Fonseca, Crist√≥bal de, 1550?","Author"
"Mabbe, James, 1572-1642?","Author"
"Forbes, John, 1568?","Author"
"Forbes, Patrick, 1564-1635.","Author"
"Barrett, Hannah Mrs 1624","Bookseller, Publisher"
"Beeston, Hugh 1631","Bookseller"
"Ford, John, 1586-ca. 1640.","Author"
"Purset, Christopher 1590","Bookseller"
"Bradock, Richard 1581","Printer, Bookseller"
"Purslowe, Elizabeth 1630","Printer"
"Griffin, Edward jr 1636","Printer"
"Shepheard, Henry 1634","Bookseller"
"Daniel, Samuel, 1562-1619.","Author"
"Collins, Richard 1628","Bookseller"
"Ford, Thomas, d. 1648.","Author"
"Ford, Emanuel.","Author"
"Forman, Simon, 1552-1611.","Author"
"Forset, Edward, 1553?","Author"
"Forsyth, James, fl. 1615-1619.","Author"
"Mulcaster, Robert. 16th Century","Author"
"Tottell, Richard 1547","Printer, Bookseller, Printer (law)"
"Fortescue, John, Sir, 1394?","Author"
"Hengham, Ralph de, d. 1311.","Author"
"Mulcaster, Robert, 16th cent.","Author"
"Selden, John, 1584-1654.","Author"
"Grismand, John 1616","Bookseller, Printer, Typefounder, Bookseller (ballad)"
"Tomes, Henry 1590","Bookseller"
"Eglesfield, Francis 1636","Bookseller"
"Foster, Samuel, d. 1652.","Author"
"Dawson, John 1639","Printer"
"Foster, Thomas, b. 1590 or 91.","Author"
"Foster, William, 1591-1643.","Author"
"Grove, John 1620","Bookseller"
"Fotherby, Martin, 1549 or 50-1620.","Author"
"Cotton, William 1594","Bookseller"
"Ballard, Henry 1586","Printer, Stationer"
"Fougasses, Thomas de.","Author"
"Shute, W.","Author"
"Scarlet, Thomas 1577","Printer, Bookseller"
"Foulweather, Adam.","Author"
"Fowler, John, Brownist.","Author"
"Saunders, Clement.",""
"Bulwarde, Robert.",""
"Fowler, William, 1560?","Author"
"Foxe, Luke, 1586-1635.","Author"
"Sparke, Michael II 1631","Bookseller"
"Foxe, John, 1516-1587.","Author"
"Day, Richard, b. 1552.","Author"
"J. F., fl. 1587.","Author"
"Singleton, Hugh 1547","Printer, Bookbinder, Bookseller"
"Sergier, Richard sr 1571","Bookseller"
"Bell, James, fl. 1551-1596.","Author"
"Barker, Christopher 1529","Stationer"
"Wilson, Robert 1600","Bookseller"
"Foxle, George.","Author"
"Allen, John 1623","Stationer"
"Sylvester, Josuah, 1563-1618.","Author"
"Fracastoro, Girolamo, 1478-1553.","Author"
"Montpensier, FranÁois de Bourbon, duc de.",""
"Eliot, John.","Author"
"Bouillon, Henri de la Tour-d'Auvergne, Duc de, 1555-1623.","Author"
"Concini, Concino, marÈchal d'Ancre, ca. 1575-1617.","Author"
"Du Vair, Guillaume, 1556-1621.","Author"
"Mayenne, Henri de Lorraine, duc de, 1578-1621.","Author"
"VendÙme, CÈsar de Bourbon, duc de, 1594-1665.","Author"
"Aggas, Edward.","Author"
"Munday, Anthony, 1553-1633.","Author"
"Tremoille, Charlotte Brabantina, Duchess of, 1580-1631.","Author"
"Hennot, John de.","Author"
"Becket, James 1636","Bookseller"
"La Popelini√®re, Lancelot-Voisin, sieur de, 1541-1608.","Author"
"Hoby, Edward, Sir, 1560-1617.","Author"
"Gentleman of Florence.","Author"
"Eglises r√©form√©es de France.","Author"
"Reynolds, John, fl. 1621-1650.","Author"
"Gorges, Arthur, Sir, 1557?","Author"
"Combort, fl. 1621.","Author"
"Franchis, Joannes Maria de.","Author"
"Hutton, Samuel.","Author"
"Golding, Arthur, 1536-1606.","Author"
"Ponsonby, William 1560","Bookseller"
"Grafton, Robert 1552","Publisher"
"Alber, Erasmus, ca. 1500-1553.","Author"
"Marcos, de Lisboa, Bishop of Porto, 1511-1591.","Author"
"Cape, William.","Author"
"Barker, Robert 1589","Stationer"
"Franklin, James, d. 1615.","Author"
"Frarinus, Petrus.","Author"
"Fowler, John, 1537-1579.","Author"
"Fraunce, Abraham, fl. 1587-1633.","Author"
"Heliodorus, of Emesa.","Author"
"Tasso, Torquato, 1544-1595.","Author"
"Virgil.","Author"
"Watson, Thomas, 1557?","Author"
"Gubbin, Thomas 1586","Bookseller, Stationer"
"Howe, William 1556","Printer"
"Newman, Thomas 1578","Bookseller"
"Ramus, Petrus, 1515-1572.","Author"
"Camilton, John. De studiis Jesuitarum abstrusioribus. English.","Author"
"Francke, Christian, b. 1549.","Author"
"Freake, William.","Author"
"Harper, Richard 1633","Bookseller"
"Harper, Thomas 1604","Printer, Printer (journeyman) ?, Printer (music)"
"Frederick I, King of Bohemia, 1596-1632.","Author"
"Frederick Henry, Prince of Orange, 1584-1647.","Author"
"Frederick Henry, Prince of Orange, 1629-09-13.",""
"Freeman, Ralph, Sir, fl. 1610-1655.","Author"
"Hooper, Humphrey 1561","Bookseller, Publisher"
"Lisle, Laurence 1607","Bookseller, Publisher"
"Freeman, Thomas, b. 1590 or 91.","Author"
"Frontinus, Sextus Julius.","Author"
"Morison, Richard, Sir, d. 1556.","Author"
"Wight, Thomas 1580","Bookseller, Printer"
"Fulbecke, William, 1560-1603?","Author"
"Painter, William, 1540?","Author"
"Sutton, Henry 1550","Printer, Bookseller"
"Fulke, William, 1538-1589.","Author"
"Parsons, Robert, 1546-1610.","Author"
"Bishop, George 1568","Stationer"
"Adams, Thomas 1590","Bookseller, Publisher, Publisher (music)"
"Feckenham, John de, 1518?","Author"
"Griffith, William 1556","Stationer"
"Gifford, George, d. 1620.","Author"
"Gardiner, Thomas 1576","Printer"
"Harryson, Lucas 1556","Stationer"
"Dawson, Thomas I 1559","Printer"
"Allen, William, 1532-1594.","Author"
"Albin de Valsergues, Jean d', d. 1566.","Author"
"Fuller, Thomas, 1608-1661.","Author"
"Marshall, William, fl. 1617-1650, engraver.","engraver"
"Williams, John 1642","Publisher, Bookseller"
"Fuller, Thomas, Master of Arts.","Author"
"Fuller, William, 1579 or 80-1659.","Author"
"Bostock, Robert 1625","Bookseller"
"Gnaphaeus, Gulielmus, 1493-1568.","Author"
"Palsgrave, John, d. 1554.","Author"
"Fulwell, Ulpian, fl. 1586.","Author"
"Harman, Edmund.","Author"
"Jones, John.","Author"
"Fullwood, William, fl. 1562.","Author"
"Fum√©e, Martin, ca. 1540-ca. 1590.","Author"
"Churche, Rooke.","Author"
"Furio Ceriol, Fadrique, d. 1592.","Author"
"Blundeville, Thomas, fl. 1561.","Author"
"Skot, John 1521","Printer"
"Fyloll, Jasper.","Author"
"Simson, Gabriel 1583","Bookseller, Printer"
"C. G., Gent.","Author"
"Gibbon, Charles, fl. 1589-1604.","Author"
"F. G., fl. 1570.","Author"
"H. G., fl. 1618.","Author"
"Goodyere, Henry, Sir, 1551 or 2-1629.","Author"
"Adams, Thomas, fl. 11612-1653.","Author"
"Judson, Thomas 1581","Printer"
"Ling, Nicholas 1579","Bookseller, Publisher"
"Greenham, Richard.","Author"
"Grafton, Richard, d. 1572?","Author"
"R. G., fl. 1571.","Author"
"T. G., Esquire.","Author"
"Turner, William 1622","Stationer"
"Gainsford, Thomas, d. 1624?","Author"
"T. G., fl. 1623.","Author"
"Norton, Thomas 1616","Bookseller"
"Downes, Thomas 1606","Stationer"
"Dawson, Ephraim 1601","Bookseller"
"Della Casa, Giovanni, 1503-1556.","Author"
"Jackson, Roger 1591","Bookseller"
"T. G., fl. 1616.","Author"
"Rounthwaite, Ralph 1617","Bookseller"
"Henry VII, King of England, 1457-1509.","Author"
"Gale, Dunstan.","Author"
"Gallobelgicus.","Author"
"Galv√£o, Ant√≥nio, d. 1557.","Author"
"Hakluyt, Richard, 1552?","Author"
"Gamage, William.","Author"
"Bell, Henry 1594","Bookseller, Publisher, Printer (journeyman)"
"Synod of Gap.","Author"
"W. M. (William Melvin)","Author"
"Garc√≠a, Carlos, doctor.","Author"
"Copland, Robert, fl. 1508-1547.","Author"
"Garcie, Pierre, called Ferrande, ca. 1435-ca. 1520.","Author"
"Gardiner, Edmund.","Author"
"Lownes, Matthew 1582","Bookseller, Printer"
"Moseley, Humphrey 1620","Bookseller"
"Gardiner, Richard, of Shrewsbury.","Author"
"White, Edward jr 1604","Bookseller"
"Gardiner, Samuel, b. 1563 or 4.","Author"
"Rawley, William, 1588?","Author"
"Gardiner, Stephen, 1483?","Author"
"Hales, James, Sir, d. 1554.","Author"
"Bale, John, 1495-1563.","Author"
"Bonner, Edmund, 1500?","Author"
"Turner, William, d. 1568.","Author"
"Wood, Michael, fl. 1553.","Author"
"Caly, Robert 1553","Printer"
"H. S.","Author"
"Garden, Alexander, 1585?","Author"
"Breton, Nicholas, 1545?","Author"
"Garey, Samuel, 1582 or 3-1646.","Author"
"Parker, John 1617","Bookseller"
"Pynson, Richard 1464","Printer, Bookseller, Bookbinder"
"John, of Garland, ca. 1195-ca. 1272.","Author"
"Meredith, Christopher 1624","Bookseller"
"Stephens, Philemon 1620","Bookseller"
"Kyd, Thomas, 1558-1594.","Author"
"Roberts, James 1564","Bookseller, Printer"
"Garnier, Robert, 1544-1590.","Author"
"Pembroke, Mary Sidney Herbert, Countess of, 1561-1621.","Author"
"Garrard, Thomas.","Author"
"Garrard, William, d. 1587.","Author"
"Hitchcock, Robert, Captain.","Author"
"Lacy, Alexander 1556","Printer"
"B. G. (Bernard Garter)","Author"
"Wood, Robert, Sir, fl. 1578.","Author"
"Googe, Barnabe, 1540-1594.","Author"
"Stokesley, John, 1475?","Author"
