"NAME","ROLE"
"Robinson, J 1701","Bookseller"
"Ligon, Richard.","Author"
"Lilburne, John, 1614?","Author"
"Lamboll, William.","Author"
"Potter, James, fl. 1686.","Author"
"Buy, John.","Author"
"L. H.","Author"
"H. L.","Author"
"Bonatti, Guido, 13th cent.","Author"
"Partridge, John, 1644-1715.","Author"
"Coley, Henry, 1633-1695?","Author"
"W. T.","Author"
"Hampton, Barnabas, 17th cent.","Author"
"Harrison, John 5 1641","Bookseller"
"Crawford-Lindsay, John Lindsay, Earl of, 1596-1678.","Author"
"Lineall, John.","Author"
"Felton, John 1658","Bookseller"
"Redmayne, John 1668","Printer"
"Wanley, Nathaniel, 1634-1680.","Author"
"Delamar, George Booth, Baron, 1622-1684.","Author"
"Lambert, John, 1619-1683.","Author"
"Brown, Captain.","Author"
"Leeds, Thomas Osborne, Duke of, 1631-1712.","Author"
"Lisola, FranÁois Paul, baron de, 1613-1674.","Author"
"Hayhurst, Robert 1674","Stationer"
"France. Marine.","Author"
"Coulombel, John.","Author"
"Jol, Cornelis Corneliszoon, ca. 1600-1641.","Author"
"Thackeray, Thomas 1693","Bookseller"
"Milbourn, Alexander 1684","Printer"
"Littleton, Adam, 1627-1694.","Author"
"Crump, John 1673","Bookseller"
"Lloyd, David, 1635-1692.","Author"
"Milbourne, Thomas 1643","Stationer"
"Lloyd, Richard, 1594 or 5-1659.","Author"
"Lobb, Stephen, d. 1699.","Author"
"Wynne, John, 1667-1743.","Author"
"Holt, Elizabeth 1689","Printer"
"Popple, William, d. 1708.","Author"
"Proast, Jonas. Argument of the letter concerning toleration.","Author"
"Proast, Jonas. Third letter concerning toleration.","Author"
"Locke, Matthew, 1621 or 2-1677.","Author"
"Ratcliffe, Thomas 1676","Stationer"
"Loftus, Edward, 17th cent.","Author"
"Roycroft, Thomas 1679","Stationer"
"Tichborne, Robert, Sir, d. 1682.","Author"
"Ford, Richard, Sir, d. 1678.","Author"
"Hanson, Robert, d. 1680.","Author"
"Hooker, William, Sir, 1612-1697.","Author"
"Hanson, Robert, Sir, fl. 1672-1673.","Author"
"Tulse, Henry, Sir, d. 1689.","Author"
"Chapman, John, Sir, 1633-1689.","Author"
"Lane, Thomas, Sir, 1652-1709.","Author"
"Long, Thomas, 1621-1707.","Author"
"La Mothe Le Vayer, Fran√ßois de, 1583-1672.","Author"
"Meighen, Mercy 1642","Bookseller"
"Loredano, Giovanni Francesco, 1607-1661.","Author"
"Lamport, John.","Author"
"France. Treaties, etc. Spain, 1668 May 2.","Author"
"Johnson, Andrew 1683","Stationer"
"P. B.","Author"
"Leopold I, Holy Roman Emperor, 1640-1705.","Author"
"France. Treaties, etc. Spain, 1659 Nov. 7.","Author"
"Tyus, Charles 1656","Bookseller, Bookseller (ballad), Bookseller (chapbook)"
"Love, Christopher, 1618-1651.","Author"
"Nixon, Robert, fl. 1620?","Author"
"Wallace, Lady, fl. 1651.","Author"
"Lancton, Thomas.","Author"
"Coote, Charles, Sir, d. 1642.","Author"
"Lander, Thomas.","Author"
"Lovelace, Dudley Posthumus.","Author"
"Lovelace, Richard, 1618-1658.","Author"
"Darby, Clement 1659","Bookseller"
"Bussy, Roger de Rabutin, comte de, 1618-1693.","Author"
"J. L.","Author"
"Hildyard, Francis 1680","Bookseller"
"Whitehead, Joseph 1699","Stationer"
"Lowndes, William, 1652-1724.","Author"
"Foart, Mary.",""
"Blay, John.",""
"Queen Elizabeth Protestant.","Author"
"Laney, Benjamin, 1591-1675.","Author"
"Hickes, Francis, 1566-1631.","Author"
"Lucretius Carus, Titus.","Author"
"Manilius, Marcus. Five books of M. Manilius.","Author"
"Roper, Abel, 1665-1726.","Author"
"Lucy, William, 1594-1677.","Author"
"Man, Edward 1675","Stationer"
"Man, Edward 1665","Bookseller"
"Corker, James Maurus, 1636-1715, defendant.","defendant"
"Kemish, David Joseph, defendant.","defendant"
"Lumsden, Alexander, defendant.","defendant"
"Parris, Charles, defendant.","defendant"
"Russel, William, defendant.","defendant"
"Starkey, Henry, defendant.","defendant"
"Anderson, Lionel, d. 1710, defendant.","defendant"
"Lanfiere, Thomas.","Author"
"Lynford, Thomas, 1650-1724.","Author"
"Griffith, Evan, A.M., Minister of Alderly. Pax vobis.","Author"
"Langhorne, Daniel, d. 1681.","Author"
"Laugharne, Rowland, d. 1676.","Author"
"Lansdowne, George Granville, Baron, 1667-1735.","Author"
"La Quintinie, Jean de, 1626-1688.","Author"
"La Roche-Guihen, Mlle de (Anne), 1644-1707.","Author"
"La Roche-Guilhen, Mlle. de (Anne), 1644-1707.","Author"
"E. C., Esq.","Author"
"SablÈ, Madeleine de SouvrÈ, marquise de, 1599-1678.","Author"
"Ailly, d'. Mixed thoughts.","Author"
"S. W. (Simon Wilson)","Author"
"Lassels, Richard, 1603?","Author"
"Gentleman in Dublin.","Author"
"Hickeringill, Edmund, 1631-1708, defendant.","defendant"
"Bulkeley, Lancelot, 1568?","Author"
"Lawes, William, 1602-1645.","Author"
"Lawrence, Anthony, 17th cent.","Author"
"Lawrence, Edward, 1623-1695.","Author"
"Nealand, William 1649","Bookseller"
"Lawrence, Henry, 1600-1664.","Author"
"Lawrence, Thomas, A.M.","Author"
"Lawson, Deodat.","Author"
"Lawson, George, d. 1678.","Author"
"Lawson, Joseph 1681","Bookseller"
"Lawson, John, Sir, d. 1665.","Author"
"Laythes, Thomas, d. 1701.","Author"
"Stapylton, Robert, 17th cent.","Author"
"T. L.","Author"
"Leach, Edmund, of London.","Author"
"Lead, Jane, 1623-1704.","Author"
"Loutherbourg, Philippe-Jacques de, 1740-1812.","Author"
"Edwards, David 1675","Playing-card maker (apprentice)"
"Nowell, Christopher 1657","Chapman"
"Leadbetter, Jeremiah 1660","Stationer"
"Leanerd, John, fl. 1679.","Author"
"Fletcher, Elizabeth Mrs 1667","Printer"
"Leblanc, Vincent, 1554-ca. 1640.","Author"
"Brooke, Francis.","Author"
"Dacier, AndrÈ, 1651-1722.","Author"
"Le Bossu, Ren√©, 1631-1680.","Author"
"Lechford, Thomas, ca. 1590-1644?","Author"
"Le Clerc, Jean, 1657-1736.","Author"
"Le Comte, Louis, 1655-1728.","Author"
"Lee, Francis, 1661-1719.","Author"
"ScudÈry, Madeleine de, 1607-1701.","Author"
"James, Eleanor Mrs 1662","Printer"
"Leeds, Daniel, 1652-1720.","Author"
"Le F√®vre, Nicaise, 1610-1669.","Author"
"Pulleyn, Octavian 1656","Stationer"
"Bendish, Thomas, Sir, d. ca. 1674.","Author"
"Le Grand, Antoine, d. 1699.","Author"
"Freman, G.","Author"
"Gucht, Michael van der, 1660-1725.","Author"
"Kip, Johannes, 1653-1722.","Author"
"Lens, Bernard, 1659-1725.","Author"
"G. R.","Author"
"Leicester, Philip Sidney, Earl of, 1619-1698.","Author"
"Moore of Drogheda, Charles Moore, Viscount, 1603-1643.","Author"
"Leigh, Charles, 1662-1701?","Author"
"Perpoint, Thomas 1639","Stationer"
"Massard, Jaques.","Author"
"Massey, Edward, Sir, 1619?","Author"
"Massey, William, 17th cent.","Author"
"Bateman, Thomas 1659","Bookseller"
"Pennycuicke, Andrew, b. 1620.","Author"
"Fletcher, John, 1579-1625,","Author"
"Master, William, 1627-1684.","Author"
"Richardson, William 1642","Bookbinder"
"Master, Thomas, 1603-1643.","Author"
"Mather, Cotton, 1663-1728.","Author"
"Greene, Samuel 1691","Stationer"
"Ratcliffe, John 1661","Bookseller"
"Mace, Thomas, d. 1709?","Author"
"Macedo, Francisco de, 1596-1681.","Author"
"Mather, Richard, 1596-1669.","Author"
"Usher, Hezekias 1630","Stationer"
"Tompson, William, d. 1666.","Author"
"Mathews, Lemuel, fl. 1661-1705.","Author"
"Neville, Henry, 1620-1694.","Author"
"Mauclerc, Julien.","Author"
"Pricke, Robert.","Author"
"Dacres, Edward.","Author"
"Maule, Thomas, 1645-1724.","Author"
"Maurice, Henry, 1648-1691.","Author"
"Basset, Joshua, 1641?","Author"
"Maxsey, Andrew.","Author"
"Andrews, Benjamin 1671","Stationer"
"Maxwell, John, 1590?","Author"
"May, Thomas, ca. 1645-1718.","Author"
"Boddington, Nicholas 1687","Bookseller"
"Bonet, ThÈophile, 1620-1689.","Author"
"Mayhew, Thomas.","Author"
"Maynard, John, 1600-1665.","Author"
"Mayne, John, fl. 1673-1675.","Author"
"Worthington, John, 1618-1671.","Author"
"E. M.","Author"
"Mackenzie, George, Sir, 1636-1691.","Author"
"Maynwaringe, Everard, 1628-1699?","Author"
"Mazzella, Scipione.","Author"
"Mead, William, 1628-1713.","Author"
"Meadows, Philip, Sir, 1626-1718.","Author"
"Redmaine, John 1685","Printer"
"Melish, Stephen.","Author"
"Faber, Albert Otto, 1612-1684.","Author"
"Melville, James, Sir, 1535-1617.","Author"
"Scot, George, d. 1685.","Author"
"Perrault, Claude, 1613-1688.","Author"
"Pitfield, Alexander, 1658-1728.","Author"
"AcadÈmie royale des sciences (France)","Author"
"T. T.",""
"Williamson, Joseph, Sir, 1633-1701.","Author"
"Cromarty, George Mackenzie, Earl of, 1630-1714.","Author"
"Browne, Robert 1667","Bookbinder"
"Pinto, Fern√£o Mendes, d. 1583.","Author"
"Cogan, Henry.","Author"
"Smith, James, 1605-1667.","Author"
"Mennes, John, Sir, 1599-1671.","Author"
"Menton, L.","Author"
"C---d, Mr. Lenten litany.","Author"
"Meriton, Thomas, b. 1638.","Author"
"Mervyn, Audley, Sir, d. 1675.","Author"
"Mewe, William, ca. 1603-1669.","Author"
"Middleton, Thomas, 17th cent.","Author"
"Hammond, Anthony, 1668-1738.","Author"
"Milbourne, Luke, 1649-1720.","Author"
"Miles, Abraham.","Author"
"Andrews, John 1654","Bookseller"
"Mill, John, 1645-1707.","Author"
"Baillie, Robert, d. 1684.","Author"
"Milner, John, 1628-1702.","Author"
"Jones, John 1700","Stationer"
"Newcomb, Thomas 1641","Printer"
"Rebold, William 1641","Stationer"
"Walker, Mathias 1664","Bookseller"
"Hog, William, b. ca. 1652.","Author"
"Dissenter.","Author"
"Smith, William, 17th cent.","Author"
"Mitchell, John, fl. 1697.","Author"
"Mitchel, Jonathan, 1624-1668.","Author"
"Collins, John, 1632?","Author"
"Author of Westminster drollery.","Author"
"Moellenbrock, Valentin Andreas, d. 1675.","Author"
"Molesworth, Robert Molesworth, Viscount, 1656-1725.","Author"
"Ravenscroft, Edward, 1654?","Author"
"Dawes, George 1665","Bookseller"
"Molloy, Charles, 1646-1690.","Author"
"Halley, Edmond, 1656-1742.","Author"
"Johnson, John 1677","Compositor/typesetter"
"Gwyn, Nell, 1650-1687.","Author"
"Meldrum, George, 1635?","Author"
"S. W.","Author"
"Hinton, Thomas 1683","Stationer"
"Author of The magpies.","Author"
"Monson, William, Sir, 1569-1643.","Author"
"Parry, William, d. 1585.","Author"
"Magalh√£es, Gabriel de, 1609-1677.","Author"
"Manchester, Henry Montagu, Earl of, 1563?","Author"
"Montaigne, Michel de, 1533-1592.","Author"
"Brudenell, John 1660","Printer"
"G. M.","Author"
"Monluc, Blaise, seigneur de, 1500?","Author"
"Montrose, James Graham, Marquis of, 1612-1650.","Author"
"Moore, Adam.","Author"
"Moore, John, b. 1621.","Author"
"Moore, John, 1646-1714.","Author"
"Moore, John, Sir, 1620-1702.","Author"
"Williamson, Anthony 1651","Bookseller"
"Moore, John, 1595?","Author"
"More, Thomas, 1565-1625.","Author"
"More, Cresacre, 1572-1649.","Author"
"Onely, William 1681","Stationer"
"More, Nicholas, d. 1689.","Author"
"Morer, Thomas, 1651-1715.","Author"
"Sage, John, 1652-1711.","Author"
"Dager, Abraham, Sir.","Author"
"Fournier, Georges, 1595-1652.","Author"
"Moore, Jonas, Sir, 1617-1679.","Author"
"Moretti, Tomaso, d. 1675.","Author"
"Morgan, Sylvanus, 1620-1693.","Author"
"Morland, Samuel, Sir, 1625-1695.","Author"
"Morley, Thomas, fl. 1689.","Author"
"Morton, Anne Douglas, Countess of, d. 1700.","Author"
"Morton, Charles, 1627-1698.","Author"
"W. C. Apostolicall institution of episcopacy.","Author"
"Guy, John 1670","Bookseller"
"Milborne, Robert 1609","Stationer"
"Barry, John, 17th cent.","Author"
"Maimbourg, Louis, 1610-1686.","Author"
"Cleombrotus.","Author"
"Caffaro, Francesco, ca. 1650-1720.","Author"
"Finger, Godfrey, ca. 1660-1730.","Author"
"Leveridge, Richard, 1670 or 71-1758.","Author"
"Blackwell, James 1690","Bookseller"
"J. S., Capt. Military discipline.","Author"
"Hood, Thomas, fl. 1582-1598.","Author"
"Moxon, Joseph.","Author"
"Eliazar Bar-Isajah.","Author"
"Mun, John.","Author"
"Clarke, Thomas 1650","Stationer"
"Muret, Pierre, ca. 1630-ca. 1690.","Author"
"Lorrain, P. (Paul), d. 1719.","Author"
"Murta·∏çƒÅ ibn al- ªAfƒ´f, 1154 or 5-1237.","Author"
"Vattier, Pierre, 1623-1667.","Author"
"Blake, Charles, 1664-1730.","Author"
"Musgrave, Christopher, fl. 1621","Author"
"Musgrave, John, fl. 1654.","Author"
"Mynsicht, Adrian von, 1603-1638.","Author"
"Malebranche, Nicolas, 1638-1715.","Author"
"Millerd, Ia.","Author"
"Mall, Thomas, b. 1629 or 30.","Author"
"Malory, Thomas, Sir, 15th cent.","Author"
"Powell, Thomas, 1608-1660.","Author"
"Jean, d'Outremeuse, 1338-ca. 1399.","Author"
"Giffan, Mr.","Author"
"Guthrie, James, 1612?","Author"
"Manilius, Marcus.","Author"
"Millett, John 1685","Printer"
"Gentleman then residing in Rome.","Author"
"Hide, Michael I & II 1636","Bookseller"
"March, John, 1640-1692.","Author"
"Randal, Richard 1682","Bookseller"
"Maplisden, Peter 1676","Bookseller"
"Marguerite, Queen, consort of Henry IV, King of France, 1553-1615.","Author"
"Camargo y Salgado, Hernando, 1572-1652.","Author"
"Mariana, Juan de, 1535-1624.","Author"
"Varen de Soto, Basilio, d. 1673.","Author"
"Thetford, Lancelot.","Author"
"Marlborough, James Ley, Earl of, 1618-1665.","Author"
"Pollard, Hugh, Sir, 1610-1666.","Author"
"Smith, Henry, f. 1665.","Author"
"Lloyd, David, 16315-1692.","Author"
"Marmet, Melchior de, seigneur de Valcroissant.","Author"
"Smectymnuus.","Author"
"One of his brethren in the clergy.","Author"
"Firmin, Giles, 1614-1697.","Author"
"Newcomen, Matthew, 1610?","Author"
"Spurstowe, William, 1605?","Author"
"Young, Thomas, 1587-1655.","Author"
"Marshall, William, 17th cent.","Author"
"Marston, John, Master of Arts.","Author"
"Gayton, Edmund, 1606-1666.","Author"
"Lichfield, A & L 1664","Publisher, Printer"
"Marten, Henry, 1602-1680.","Author"
"Pettingall, Richard.","Author"
"Ward, Mary, 17th cent.","Author"
"Martindale, Adam, 1623-1686.","Author"
"Edwards, Mrs 1647","Bookseller"
"Mascardi, Agostino, 1591-1640.","Author"
"E. M., Mason.","Author"
"Mason, John, fl. 1676-1683.","Author"
"Mason, John, 1646?","Author"
"W. M.","Author"
"Rawson, Edward, 1615-1693.","Author"
"Embroyan fancy of anti-Jack Presbyter.","Author"
"Mason, J 1684","Printer"
"Hinch, S 1684","Printer"
"Webster, Elizabeth 1689","Printer"
"Gibbs, J 1689","Bookseller"
"Newton, Isaac, Sir, 1642-1727.","Author"
"Newton, John, 1622-1678.","Author"
"Browne, Christopher 1675","Chapman (hawker)"
"Boydell, Robert 1650","Bookseller"
"Hurlock, Benjamin 1671","Bookseller"
"Newton, John, 1637 or 8-1711.","Author"
"Nicephorus Callistus Xanthopulus, ca. 1256-ca. 1335.","Author"
"Nicholls, William, 1664-1712.","Author"
"Nalson, John, 1638?","Author"
"D. P.","Author"
"Keizer, Jacob de.","Author"
"Kircher, Athanasius, 1602-1680.","Author"
"Nieuhof, Johannes, 1618-1672.","Author"
"Schall von Bell, Johann Adam, 1592?","Author"
"Goyer, Pieter de.","Author"
"Norfolk, Mary Howard, Duchess of, 1659?","Author"
"Masham, Damaris, Lady, 1658-1708.","Author"
"Norris, William, b. 1619?","Author"
"North, Dudley, Sir, 1641-1691.","Author"
"North, Dudley North, Baron, 1581-1666.","Author"
"North, Dudley North, Baron, 1602-1677.","Author"
"Norton, Richard, 1666-1732.","Author"
"Grebner, Ezekiel.","Author"
"Torquato, Antonio, 15th cent.","Author"
"Noy, William, Captain.","Author"
"Fortescue, Peter, Sir, 1620 or 21-1685.","Author"
"Noy, William, 1577-1634.","Author"
"T. H. Certain observations concerning a deed of feoffament.","Author"
"Nye, Stephen, 1648?","Author"
"Narbrough, John, Sir, 1640-1688.","Author"
"Robinson, Tancred, Sir, d. 1748.","Author"
"Tasman, Abel Janszoon, 1603?","Author"
"Wood, John, Captain.","Author"
"Martens, Friedrich, 1635-1699.","Author"
"G. N., well-willer to the peace of both kingdoms.","Author"
"Emerson, Godfrey 1613","Bookseller"
"Brinvilliers, Marie-Madeleine Gobelin, marquise de, 1630-1676.","Author"
"Naud√©, Gabriel, 1600-1653.","Author"
"M. B., Esq.","Author"
"Booth, Mary, 17th cent.","Author"
"A. N.","Author"
"Nedham, Marchamont, 1620-1678.","Author"
"Finch, Leopold William, 1663?","Author"
"Ness, Christopher, 1621-1705.","Author"
"Dew, Richard 2 1657","Bookbinder, Bookseller"
"Copeland, John, 17th cent.","Author"
"Walker, George, of Londonderry.","Author"
"D. N.","Author"
"Johnson, Joseph, 17th cent.","Author"
"Somerset, William Seymour, Duke of, 1588-1660.","Author"
"Lover of all those who are lovers of the truth.","Author"
"Honest trimmer.","Author"
"Newark, David Leslie, Baron, d. 1682.","Author"
"Newbery, William.","Author"
"Edmunds, William.","Author"
"Inghall, William 1681","Bookbinder, Bookseller"
"D. N., Old Common-Council-man.","Author"
"Newrobe, Richard.","Author"
"Clark, Jane 1672","Publisher ?"
"William, of Ockham, ca. 1285-ca. 1349.","Author"
"Garfeild, John 1647","Stationer"
"Homer. Odyssey. English. Prospectus.","Author"
"Okeley, William.","Author"
"Deane, James.","Author"
"Oakes, Urian, 1631-1681.","Author"
"Oldfield, Thomas.","Author"
"Shepard, Thomas, 1635-1677.","Author"
"Mandelslo, Johann Albrecht von, 1616-1644.","Author"
"Olearius, Adam, 1603-1671.","Author"
"Scroggs, William, Sir, 1623?","Author"
"T. I.","Author"
"Orrery, Charles Boyle, Earl of, 1676-1731.","Author"
"Osborne, Francis, 1593-1659.","Author"
"Robinson, Thomas 1653","Bookseller (proprietor)"
"Berenclow, B.","Author"
"Saint-RÈal, M. l'abbÈ de (CÈsar Vichard), 1639-1692.","Author"
"Norman, Thomas 1679","Stationer"
"Racine, Jean, 1639-1699.","Author"
"Oudin, C√©sar, d. 1625.","Author"
"Ouldman, Thomas.","Author"
"Harlow, John 1679","Stationer"
"Harrison, William, fl. 1660.","Author"
"Atkinson, James 1667","Map/chart seller, Bookseller"
"Overton, Robert, ca. 1609-ca. 1668.","Author"
"Overton, Richard, fl. 1646.","Author"
"Gower, John, 1325?","Author"
"Lover of antiquity.","Author"
"Ovid, 43 B. C.-17 or 18 A. D. Metamorphoses.","Author"
"Ovington, J. (John), 1653-1731.","Author"
"Owen, James, 1654-1706.","Author"
"Ponder, Nathaniel 1656","Bookseller"
"Nuthead, William 1644","Stationer"
"Nothe, Richard 1650","Printer"
"Hutchinson, James 1671","Stationer"
"Mather, Nathanael, 1631-1697.","Author"
"Owen, John, chaplain to Lord Grey of Ruthin.","Author"
"Eddowes, Samuel 1682","Bookseller"
"Harvey, Thomas.","Author"
"Owen, William, 17th cent.","Author"
"Greenwood, Daniel.","Author"
"Mews, Peter, 1619-1706.","Author"
"Bouchier, T.","Author"
"Lydiat, Thomas, 1572-1646.","Author"
"Prideaux, Humphrey, 1648-1724.","Author"
"Vossius, Isaac, 1618-1689.","Author"
"RiviËre, Lazare, 1589-1655.","Author"
"Sydenham, Thomas, 1624-1689.","Author"
"Boursier, Louise Bourgeois, ca. 1563-1636.","Author"
"Philips, John 1675","Bookseller"
"Bentley, Katherine 1697","Stationer, Bookseller"
"Peck, Francis, d. 1651.","Author"
"Peck, Samuel.","Author"
"Pecke, Thomas, b. 1637.","Author"
"Pecock, Reginald, 1395?","Author"
"W. P. (William Pedelsden)","Author"
"Hobson, Paul.","Author"
"C.P.","Author"
"Northumberland, Algernon Percy, Earl of, 1602-1668.","Author"
"Pembroke, Philip Herbert, Earl of, 1584-1650.","Author"
"Penington, Edward, 1667-1701.","Author"
"Rogers, William, d. ca. 1709.","Author"
"Friend to the souls in prison.","Author"
"Shepard, Thomas, 1665-1739.","Author"
"Sowle, Andrew 1628","Printer, Publisher, Bookseller"
"Wettenhall, Edward, 1636-1713.","Author"
"Cooke, Thomas 1679","Stationer"
"Mead, William, 1628-1713, defendant.","defendant"
"Morse, John, 17th cent.","Author"
"Hide, Matthew, d. 1675.","Author"
"Rudyard, Thomas, d. 1692.","Editor"
"Wollrich, Humphry, 1633?","Author"
"Coveney, Thomas, 17th cent.","Author"
"Pepys, Samuel, 1633-1703.","Author"
"Edwin, Humphrey, Sir, 1642-1707, recipient.","Author"
"Parrey, William.",""
"Moore, John, Sir, 1620-1702, recipient.","Author"
"Child, Francis, Sir, 1642-1713, recipient.","Author"
"Percival, Thomas, fl. 1696-1697.","Author"
"Pererius, Benedictus, 1535-1610.","Author"
"Wood, Ralph 1642","Printer"
"Enderbie, Percy, d. 1670.","Author"
"P√©r√©fixe de Beaumont, Hardouin de, b. 1605.","Author"
"P. G., Merchant now dwelling in Dublin.","Author"
"Nicols, Thomas.","Author"
"Perrault, Fran√ßois, 1577-1657.","Author"
"Perrin, P. (Pierre), ca. 1620-1675.","Author"
"Cambert, Robert, ca. 1628-1677.","Author"
"D. P. P.","Author"
"J. P. (John Perrot), d. 1671?","Author"
"Paget, Thomas, d. 1660.","Author"
"Field, Henry 1646","Stationer"
"S. D., One that hath formerly been conversant with thehor in his life time.",""
"Dagnall, Stephen 1651","Bookseller"
"Plockhoy, Pieter Corneliszoon, fl. 1659.","Author"
"Trot, Robert 1645","Bookseller, Printer"
"Marshall, John 1638","Bookbinder, Bookseller"
"Baker, Randolph 1638","Stationer"
"Dexter, Gregory 1637","Bookseller, Printer, Printer (journeyman)"
"Ercker, Lazarus, d. 1594.","Author"
"Pettus, John, Sir, 1613-1690.","Author"
"Pettus, Katherine.","Author"
"Bancroft, Margaret.","Author"
"Sankey, Hierome, Sir.","Author"
"Vaillant, Francois 1685","Bookseller"
"Browns, Daniell 1692","Bookseller"
"Phalaris, Tyrant of Agrigentum, 6th cent. B.C.","Author"
"Temple, William, Sir, 1628-1699.","Author"
"Whately, Stephen.","Author"
"Leach, Francis 1683","Stationer"
"Philipot, Thomas, d. 1682.","Author"
"Palafox y Mendoza, Juan de, 1600-1659.","Author"
"Philipps, Fabian, 1601-1690.","Author"
"Jones, Arthur 1675","Stationer"
"H. P. (Henry Philipps)","Author"
"Philips, Ambrose, 1674-1749.","Author"
"Ephelia, fl. 1679.","Author"
"Courtney, James 1679","Publisher"
"Philips, John, vicar of Aylesham, Norfolk.","Author"
"Philips, William, Merchant.","Author"
"Baber, William.","Author"
"Smith, Charles 1671","Bookseller"
"Read, R 1682","Bookseller"
"Norman, S 1682","Bookseller"
"E. N. P.","Author"
"Philips, William, d. 1734.","Author"
"Brocas, John 1692","Stationer"
"Philo, of Alexandria.","Author"
"Rivers, J. A. (John Abbot)","Author"
"Philostratus, the Athenian, 2nd/3rd cent.","Author"
"E. P. (Ezra Pierce)","Author"
"Miller, John 1691","Bookseller"
"Clark, Samuel 1689","Stationer"
"Piggott, John, d. 1713.","Author"
"Abbott, Mordecai, d. 1700?","Author"
"Pilkington, Thomas, Sir, d. 1691.","Author"
"Chambrun, Jacques Pineton de, 1637-1689.","Author"
"Pitt, Moses, fl. 1654-1696.","Author"
"Pittis, William, 1674-1724.","Author"
"Pix, Mary, 1666-1720.","Author"
"Barker & Henry.","Author"
"Harding, John 1691","Stationer"
"BrÈmond, Gabriel de. Pelerin.","Author"
"Roger.","Author"
"Humphrey.","Author"
"Plantagenet, Beauchamp.","Author"
"Evelyn, Robert, 17th cent.","Author"
"Plat, Hugh, Sir, 1552-1611?","Author"
"Bellingham, Charles.","Author"
"H. D.","Author"
"Platina, 1421-1481.","Author"
"Plautus, Titus Maccius.","Author"
"Plaxton, George, 1647 or 8-1720.","Author"
"Grosvenor, Richard 1685","Bookseller"
"Palmer, John, 1650-1700?","Author"
"F. L.","Author"
"Lowe, Edward, d. 1682.","Author"
"Simpson, Christopher, d. 1669.","Author"
"Playford, John, ca. 1655-1685 or 6.","Author"
"Palmer, Thomas, b. ca. 1620.","Author"
"Pen neer the Covent of Eluthery.","Author"
"Archer, Thomas 1671","Bookseller"
"Pliny, the Younger.","Author"
"Plot, Robert, 1640-1696.","Author"
"H. B., Esquire of Lincolns-Inne.","Author"
"Plowden, Edmund, 1518-1585.","Author"
"Burghers, M., engraver.","engraver"
"Lover of music.","Author"
"Gentlewoman of quality.","Author"
"Loyal P. E. N.","Author"
"Gent. of Lincoln's-Inne.","Author"
"Cotton, John, Sir, 1621-1701.","Author"
"F. H.","Author"
"Poleman, Joachim.","Author"
"Polhill, Edward, 1622-1694?","Author"
"Shelmerdine, Thomas 1693","Bookseller"
"Gentleman of quality.","Author"
"Pomey, Fran√ßois, 1618-1673.","Author"
"Tooke, Andrew, 1673-1732.","Author"
"Churchill, Joshua 1688","Printer"
"Pontis, Louis, sieur de, 1583-1670.","Author"
"Poole, Matthew, 1624-1679.","Author"
"Pope, Walter, d. 1714.","Author"
"Duval, Claude, 1643-1670.","Author"
"Gentleman of that nation.","Author"
"Gentleman at York.","Author"
"Pordage, John, 1607-1681.","Author"
"Hooker, Edward.","Author"
"Pordage, Samuel, 1633-1691?","Author"
"Lee, Charles 1681","Bookseller"
"Porter, T. (Thomas), 1636-1680.","Author"
"Potter, John, 1673 or 4-1747.","Author"
"Potter, William.","Author"
"Geree, John, 1601?","Author"
"Poulain de La Barre, Fran√ßois, 1647-1723.","Author"
"A. L.","Author"
"Poulton.","Author"
"Verbruggen, John, d. 1708?","Author"
"Scott, Samuel 1687","Stationer"
"Powell, Thomas.","Author"
"Powell, Thomas, fl. 1674-1679.","Author"
"Power, Henry, 1623-1668.","Author"
"Powlett, William.",""
"Bristol (England). Recorder.","Author"
"Lady of quality.","Author"
"Philopresbyter, Britanus.","Author"
"Clark, James, 1660-1723.","Author"
"Gentleman in Algier.","Author"
"Gentleman at London.","Author"
"Coxe, Thomas.","Author"
"Loches, Monsieur de.","Author"
"Arnaud, Henri, 1641-1721.","Author"
"Pemberton, Francis, Sir, 1624-1697.","Author"
"Preston, John, b. 1598 or 9.","Author"
"Salisbury, James Cecil, Earl of, d. 1683.","Author"
"Prestwich, Edmund, fl. 1650-1651.","Author"
"Ellis, Thomas, 1625-1673.","Author"
"Price, John, 1625?","Author"
"Price, John, 17th cent.","Author"
"Price, John, Citizen of London.","Author"
"Kidder, Richard, 1633-1703.","Author"
"Barwick, Henry 1641","Bookseller"
"Priolo, Benjamin, 1602-1667.","Author"
"Prior, Matthew, 1664-1721.","Author"
"Horace. Carmina Liber 3:2.","Author"
"Proast, Jonas.","Author"
"Armstrong, Thomas, Sir, 1624?","Author"
"Thwing, Thomas, d. 1680.","Author"
"Mearne, Samuel 1683","Stationer"
"Millet, John 1683","Printer"
"Flower, Edward, Gentleman.","Author"
"Harris, B. (Bartholomew)","Author"
"Parival, Jean-Nicolas de, 1605-1669.","Author"
"Amsterdam (Netherlands). Raad.","Author"
"Robinson, Josiah 1659","Stationer"
"Bath (England)","Author"
"Hammond, Robert, 1621-1654.","Author"
"Sexby, Edward, d. 1658.","Author"
"Hodges, Robert 1649","Bookseller"
"Stucki, Johann Wilhelm, d. 1607.","Author"
"Enniskillen, Connor Maguire, Baron of, 1616-1645, defendant.","defendant"
"Nudigate, M.","Author"
