-6.25791;153 Pearse Street;place;Islam;allusion
-6.25791;153 Pearse Street;place;kindergarten;allusion
-6.25791;153 Pearse Street;place;florigraphy;allusion
-6.25791;153 Pearse Street;place;Catholicism;allusion
-6.28034;The Coombe;place;Christianity;allusion
-6.28034;The Coombe;place;corruption;allusion
-6.28034;The Coombe;place;Edward Cecil Guinness;allusion
-6.28034;The Coombe;place;Sir Arthur Guinness;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;John Conmee S.J.;allusion
-6.25105;46 Westland Row;place;Peter Claver;allusion
-6.25105;46 Westland Row;place;Jesuits;allusion
-6.25105;46 Westland Row;place;Wiliam Ewart Gladstone;allusion
-6.25105;46 Westland Row;place;Rev. William J. Walsh;allusion
-6.25105;46 Westland Row;place;Jesuits;allusion
-6.25105;46 Westland Row;place;Bret Harte;allusion
-6.25105;46 Westland Row;place;China;allusion
-6.25105;46 Westland Row;place;China;allusion
-6.25105;46 Westland Row;place;Pontius Pilate;allusion
-6.25105;46 Westland Row;place;Saint Patrick;allusion
-6.25105;46 Westland Row;place;Pope Pius X;allusion
-6.25105;46 Westland Row;place;Rev. Charles Farrelley;allusion
-6.25105;46 Westland Row;place;Jesuits;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Christianity;allusion
-6.25105;46 Westland Row;place;Judaism or Islam;allusion
-6.25105;46 Westland Row;place;religious society;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Judaism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;charlatanism;allusion
-6.25105;46 Westland Row;place;Christian pilgrimage;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Fanny Crosby;allusion
-6.25105;46 Westland Row;place;Jesus;allusion
-6.25105;46 Westland Row;place;Jesus;allusion
-6.25105;46 Westland Row;place;Gilbert and Sullivan;allusion
-6.25105;46 Westland Row;place;Fenians;allusion
-6.25105;46 Westland Row;place;James Carey;allusion
-6.25105;46 Westland Row;place;Peter Claver;allusion
-6.25105;46 Westland Row;place;Denis Carey;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;temperance beverage;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Christianity;allusion
-6.25105;46 Westland Row;place;Stabat Mater;allusion
-6.25105;46 Westland Row;place;Giusseppe Saverio Raffaele;allusion
-6.25105;46 Westland Row;place;Mozart;allusion
-6.25105;46 Westland Row;place;Giovanni Pierluigi da Palestrina;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;prepubertal castration;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Christianity;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Rosenbach MS;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Catholicism;allusion
-6.25105;46 Westland Row;place;Shakespeare;allusion
-6.25105;46 Westland Row;place;William T.C. Prescott;allusion
-6.25188;1 Lincoln Place;place;apothecary;allusion
-6.25188;1 Lincoln Place;place;Protestantism;allusion
-6.25188;1 Lincoln Place;place;alchemy;allusion
-6.25188;1 Lincoln Place;place;apothecary;allusion
-6.25188;1 Lincoln Place;place;medicine;allusion
-6.25188;1 Lincoln Place;place;chemistry;allusion
-6.25188;1 Lincoln Place;place;medicine;allusion
-6.25188;1 Lincoln Place;place;medicine;allusion
-6.25188;1 Lincoln Place;place;Dr. Chase's Recipes or, Information for Everybody;allusion
-6.25188;1 Lincoln Place;place;Prince Leopold;allusion
-6.25188;1 Lincoln Place;place;horse racing;allusion
-6.26023;Mountjoy Square;place;Catholicism;allusion
-6.26023;Mountjoy Square;place;Catholicism;allusion
-6.26023;Mountjoy Square;place;Cardinal Thomas Wolsey;allusion
-6.26023;Mountjoy Square;place;David Sheehy;allusion
-6.26023;Mountjoy Square;place;Jesuits;allusion
-6.26023;Mountjoy Square;place;Bernard Vaughan;allusion
-6.26023;Mountjoy Square;place;orientalism;allusion
-6.26023;Mountjoy Square;place;Christianity;allusion
-6.26023;Mountjoy Square;place;Rudyard Kipling;allusion
-6.26023;Mountjoy Square;place;Jesuits;allusion
-6.25721;Fitzgibbon Street;place;Charles Dickens;allusion
-6.25721;Fitzgibbon Street;place;Mary Stuart;allusion
-6.26262;North Circular Road;place;Protestantism;allusion
-6.26262;North Circular Road;place;Catholicism;allusion
-6.24785;N. Strand Road;place;Catholicism;allusion
-6.24020;Annesley Bridge;place;Catholicism;allusion
-6.24020;Annesley Bridge;place;Father A. Castelein S.J.;allusion
-6.18389;Malahide Road;place;Gerald Griffin;allusion
-6.18389;Malahide Road;place;Sir Richard Talbot of Malahide;allusion
-6.18389;Malahide Road;place;Mary Rochfort;allusion
-6.18389;Malahide Road;place;Catholicism;allusion
-6.18389;Malahide Road;place;Catholicism;allusion
-6.18389;Malahide Road;place;Catholicism;allusion
-6.18389;Malahide Road;place;Christianity;allusion
-6.18389;Malahide Road;place;Christianity;allusion
-6.18389;Malahide Road;place;Christianity;allusion
